Operation_ID,ID,Op_role,Tie_ID,Kinship,Tie_Year,Tie_Extinguish,01,03,04,05,06,07,08,09,10,11,12,13,14,15,18,19,20,22,23,25,26,27,28
11,1,6,2,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,1,6,3,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,1,6,4,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,1,6,15,,1989,,,,,,,,,,,1,,,,,,,,,,,,,
11,1,6,19,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,1,6,24,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,1,6,37,,1989,,,,,,,,,,,1,,,,,,,,,,,,,
11,1,6,39,,1989,,,,,,,,,,,1,,,,,,,,,,,,,
11,1,6,52,,1989,,,,,,,,,,,1,,,,,,,,,,,,,
11,1,6,55,,1989,,,,,,,,,,,1,,,,,,,,,,,,,
11,1,6,56,,1989,,,,,,,,,,,1,,,,,,,,,,,,,
11,1,6,105,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
15,1,6,8,,1990-1999,,,,,,,,,,,,,,,2,,,,,,,,,
15,1,6,37,,1998,,,,,,,,,,,,,,,2,,,,,,,,,
15,1,6,55,,1998,,,,,,,,,,,,,,,2,,,,,,,,,
15,1,6,105,,1990-1994,,,,,,,,,,,,,,,2,,,,,,,,,
19,1,6,293,,2001,2001,,,,,,,,,,,,,,,,1,,,,,,,
19,1,6,296,,2001,2001,,,,,,,,,,,,,,,,1,,,,,,,
7,2,,13,,1989,,,,,,,1,,,,,,,,,,,,,,,,,
10,2,,17,,1989,,,,,,,,,,3,,,,,,,,,,,,,,
10,2,,21,,1989,,,,,,,,,,1,,,,,,,,,,,,,,
10,2,,23,,1989,,,,,,,,,,1,,,,,,,,,,,,,,
10,2,,25,,1989,,,,,,,,,,1,,,,,,,,,,,,,,
10,2,,30,,1989,,,,,,,,,,1,,,,,,,,,,,,,,
10,2,,32,,1989,,,,,,,,,,2,,,,,,,,,,,,,,
10,2,,33,,1989,,,,,,,,,,1,,,,,,,,,,,,,,
10,2,,40,,1989,,,,,,,,,,1,,,,,,,,,,,,,,
11,2,13,1,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,2,13,3,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,2,13,4,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,2,13,39,,1989,,,,,,,,,,,1,,,,,,,,,,,,,
11,3,2,1,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,3,2,2,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,3,2,4,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,3,2,15,,1989,,,,,,,,,,,1,,,,,,,,,,,,,
11,3,2,24,,1989,,,,,,,,,,,1,,,,,,,,,,,,,
11,3,2,50,,1993,1998,,,,,,,,,,1,,,,,,,,,,,,,
11,3,2,51,,1991,,,,,,,,,,,1,,,,,,,,,,,,,
11,4,13,1,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,4,13,2,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,4,13,3,,1989,,,,,,,,,,,2,,,,,,,,,,,,,
11,4,13,37,,1989,,,,,,,,,,,1,,,,,,,,,,,,,
11,4,13,50,,1989,,,,,,,,,,,1,,,,,,,,,,,,,
1,5,6,38,,1989,,1,,,,,,,,,,,,,,,,,,,,,,
1,5,6,41,,1989,1998,1,,,,,,,,,,,,,,,,,,,,,,
1,5,6,358,,1993,1998,1,,,,,,,,,,,,,,,,,,,,,,
12,7,5 (2),344,,1989,,,,,,,,,,,,1,,,,,,,,,,,,
12,7,5 (2),345,,1989,,,,,,,,,,,,1,,,,,,,,,,,,
12,7,5 (2),1399,,1990-1999,,,,,,,,,,,,2,,,,,,,,,,,,
13,7,12,250,,1989,,,,,,,,,,,,,1,,,,,,,,,,,
13,7,12,255,,1989,,,,,,,,,,,,,1,,,,,,,,,,,
13,7,12,256,,1998,,,,,,,,,,,,,1,,,,,,,,,,,
13,7,12,257,,1989,,,,,,,,,,,,,1,,,,,,,,,,,
13,7,12,264,,1989,,,,,,,,,,,,,1,1,,,,,,,,,,
14,7,13,264,,,,,,,,,,,,,,,,1,,,,,,,,,,
14,7,13,269,,1989,,,,,,,,,,,,,,1,,,,,,,,,,
14,7,13,270,,1989,,,,,,,,,,,,,,1,,,,,,,,,,
14,7,13,271,,1989,,,,,,,,,,,,,,1,,,,,,,,,,
19,7,3,293,,1989,2001,,,,,,,,,,,,,,,,1,,,,,,,
19,7,3,296,,1989,2001,,,,,,,,,,,,,,,,1,,,,,,,
20,7,12,298,,2001,2002,,,,,,,,,,,,,,,,,1,,,,,,
