Operation_ID,ID,Op_role,Tie_ID,Kinship,Pre-Attack,Post-Attack
92,2401,,2384,1,3,3
92,2401,,2410,4,3,3
92,2401,,2381,1,3,3
92,2401,,2385,4,3,3
92,2391,,1561,,3,
92,2391,,1595,,3,
92,2391,,2403,,2,
92,2381,,2401,,2,
92,2381,,2384,,2,
92,2374,,177,5,3,
92,2374,,2371,4,3,
92,2374,,2373,,3,
92,2374,,2370,,3,
92,2376,,2375,3,3,
92,2376,,2377,,3,
92,2371,,2370,,3,
92,2371,,177,1,3,
92,2371,,2374,4,3,
92,2371,,1561,,2,
92,2371,,2373,,3,
92,1561,,1595,0,3,
92,1561,,598,0,3,
92,1561,,2391,,3,
92,1561,,177,,3,
92,1561,,2370,,2,
92,1561,,598,,2,
92,2382,,2385,0,3,
92,2403,,2391,,2,
92,2384,,2385,1,3,
92,2384,,2401,1,3,
92,2384,,2410,5,3,
92,2405,,2376,3,3,
92,2405,,2377,,3,
92,2392,,177,,2,2
92,1595,,1561,,3,
92,1595,,598,,3,
92,1595,,2391,,3,
92,1595,,177,,3,
92,2386,,2385,3,3,
92,2377,,2376,,3,3
92,2377,,2405,,3,3
92,2377,,2378,,3,3
92,2383,,2385,0,3,
92,177,,2370,,3,
92,177,,2371,1,3,
92,177,,2374,5,3,
92,177,,800,0,3,
92,177,,2347,0,3,
92,177,,1561,,3,2
92,177,,2394,4,3,
92,177,,2392,,2,
92,177,,2393,,1,1
92,2373,,2371,,3,
92,2373,,2374,,3,
92,2370,,177,,3,3
92,2370,,2371,,3,
92,2370,,1561,,2,2
92,2370,,2374,,3,
92,2410,,2401,1,3,
92,2410,,2384,5,3,
92,2394,,177,,3,3
92,2378,,2377,,3,3
92,2385,,2382,0,3,
92,2385,,2386,3,3,
92,2385,,2382,0,3,
92,2385,,2383,0,3,
92,1561,,2371,,2,
92,598,,1595,,3,
92,177,,1595,,3,
