ID,Group,Color,Arrest_Date,Release_Date,Death_Date,1985_1989,1990_1994,1995_1999,2000,2001,2002,2003,2004,2005,2006,,,,,,,,,,,
151,,red,10/?/2002,6/14/2006,,2,2,2,2,2,1,1,1,1,2,,,,,,,,,,,
153,,red,?/?/2003,,,2,2,2,2,2,2,1,1,1,1,,,,,,,,,,,
155,,red,12/?/2002,,11/8/2008,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,
159,,red,1/?/2002,,?/?/2003,2,2,2,2,2,1,0,0,0,0,,,,,,,,,,,
160,,red,11/21/2002,,11/8/2008,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,
162,,red,11/6/2002,,11/8/2008,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,
163,,red,1/13/2003,,,2,2,2,2,2,2,1,1,1,1,,,,,,,,,,,
164,,red,12/9/2001,,,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,
175,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
176,,red,4/22/2003,,,2,2,2,2,2,2,1,1,1,1,,,,,,,,,,,
177,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
180,,red,9/27/2002,3/?/2005,,2,2,2,2,2,1,1,1,2,2,,,,,,,,,,,
183,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
189,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
193,,red,8/?/2001,,,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,
365,,red,4/27/2003,8/?/2007,,2,2,2,2,2,2,1,1,1,1,,,,,,,,,,,
368,,red,12/?/2001,5/?/2006,,2,2,2,2,1,1,1,1,1,2,,,,,,,,,,,
373,,red,12/?/2001,,,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,
376,,red,12/?/2001,,,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,
524,,red,,,10/12/2002,2,2,2,2,2,0,0,0,0,0,,,,,,,,,,,
538,,red,,,?/?/2000,2,2,2,0,0,0,0,0,0,0,,,,,,,,,,,
539,,red,?/?/2002,,,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,
540,,red,6/?2005,,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
542,,red,5/22/2003,,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
543,,red,,,?/?/2000,2,2,2,0,0,0,0,0,0,0,,,,,,,,,,,
544,,red,,,?/?/2000,2,2,2,2,0,0,0,0,0,0,,,,,,,,,,,
545,,red,,,?/?/2000,2,2,2,2,0,0,0,0,0,0,,,,,,,,,,,
546,,red,,,?/?/2002,2,2,2,2,2,1,2,2,2,2,,,,,,,,,,,
577,,red,,,9/9/2004,2,2,2,2,2,2,2,0,0,0,,,,,,,,,,,
587,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
588,,red,,,,2,2,2,2,2,0,0,0,0,0,,,,,,,,,,,
589,,red,?/?/2002,,,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,
590,,red,12/3/2002,,,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,
594,,red,11/17/2005,8/17/2008,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
595,,red,11/18/2005,1/24/2010,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
596,,red,11/17/2005,5/17/2009,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
598,,red,1/?/2006,4/?/2008,,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,
650,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
800,,red,,,4/29/2006,2,2,2,2,2,2,2,2,2,0,,,,,,,,,,,
801,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
802,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
810,,red,11/10/2005,9/1/2014,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
812,,red,1/13/2006,1/13/2012,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
814,,red,1/13/2003,,11/9/2005,2,2,2,2,2,2,2,2,0,0,,,,,,,,,,,
815,,red,11/1/2005,11/1/2020,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
816,,red,1/13/2006,1/13/2012,,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,
817,,red,1/19/2006,1/19/2018,,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,
819,,red,11/23/2005,11/23/2014,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
820,,red,1/18/2006,1/25/2006,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
824,,red,1/1/2006,11/29/2011,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
828,,red,1/13/2006,11/29/2016,,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,
829,,red,,,10/1/2005,2,2,2,2,2,2,2,2,0,0,,,,,,,,,,,
830,,red,,,10/1/2005,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
831,,red,,,10/1/2005,2,2,2,2,2,2,2,2,0,0,,,,,,,,,,,
834,,red,1/13/2006,11/1/2012,,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,
835,,red,1/18/2006, ,,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,
838,,red,1/1/2006,11/29/2016,,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,
839,,red,11/9/2005,9/7/2024,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
840,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
841,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
1502,,red,1/21/2003,,,2,2,2,2,2,2,1,1,1,1,,,,,,,,,,,
1503,,red,11/19/2002,,,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,
1504,,red,11/5/2004,,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1506,,red,6/?/2005,,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
1507,,red,9/16/2004,,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1508,,red,1/?/2001,,,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,
1509,,red,7/?/2005,,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
1512,,red,11/26/2002,,,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,
1513,,red,11/29/2002,,,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,
1517,,red,5/?/2003,?/?/2006,,2,2,2,2,2,2,1,1,1,2,,,,,,,,,,,
1518,,red,?/?/2001,6/?/2006,,2,2,2,2,1,1,1,1,1,2,,,,,,,,,,,
1521,,red,6/12/2003,?/?/2007,,2,2,2,2,2,2,1,1,1,1,,,,,,,,,,,
1527,,red,1/16/2001,?/?/2005,,2,2,2,2,1,1,1,1,2,2,,,,,,,,,,,
1529,,red,5/7/2003,?/?/2006,,2,2,2,2,2,2,1,1,1,2,,,,,,,,,,,
1530,,red,11/5/2004,,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1532,,red,12/4/2002,,3/2/2006,2,2,2,2,2,1,1,1,1,0,,,,,,,,,,,
1534,,red,9/?/2004,?/?/2007,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1541,,red,10/?/2004,12/?/2006,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1546,,red,1/13/2001,?/?/2005,,2,2,2,2,1,1,1,1,2,2,,,,,,,,,,,
1549,,red,4/22/2003,,,2,2,2,2,2,2,1,1,1,1,,,,,,,,,,,
1553,,red,7/13/2004,12/?/2006,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1555,,red,6/30/2004,?/?/2011,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1556,,red,7/27/2004,,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1558,,red,11/5/2004,?/?/2014,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1559,,red,6/?/2003,,,2,2,2,2,2,2,1,1,1,1,,,,,,,,,,,
1561,,red,7/?/2004,3/?/2007,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1562,,red,6/?/2005,?/?/2012,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
1563,,red,6/30/2004,,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1564,,red,1/13/2003,,,2,2,2,2,2,2,1,1,1,1,,,,,,,,,,,
1565,,red,2/16/2004,,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1566,,red,?/?/2001,?/?/2004,,2,2,2,2,1,1,1,2,2,2,,,,,,,,,,,
1567,,red,10/?/2002,11/?/2004,,2,2,2,2,2,1,1,2,2,2,,,,,,,,,,,
1568,,red,,,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
1570,,red,8/?/2004, ,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1573,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
1574,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
1576,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
1577,,red,11/25/2002,1/15/2007,,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,
1579,,red,,,11/9/2005,2,2,2,2,2,2,2,2,0,0,,,,,,,,,,,
1580,,red,,,4/29/2006,2,2,2,2,2,2,2,2,2,0,,,,,,,,,,,
1582,,red,7/2/2005,?/?/2012,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,
1588,,red,1/?/2001,,,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,
1590,,red,11/5/2004,,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1594,,red,11/21/2002,,,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,
1595,,red,7/26/2004,3/?/2007,,2,2,2,2,2,2,2,1,1,1,,,,,,,,,,,
1597,,red,6/?/2003,,,2,2,2,2,2,2,1,1,1,1,,,,,,,,,,,
1605,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
2360,,red,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
